date,name,open,high,low,close,volume,adj_close,market
2024-01-02,AAA,10.000000,10.010000,9.990000,10.000000,950194.09,10.000000,1000.000000
2024-01-02,BBB,30.000000,30.030000,29.970000,30.000000,2117598.25,30.000000,1000.000000
2024-01-03,AAA,10.000000,10.306699,9.990000,10.296403,1362414.12,10.296403,1000.092975
2024-01-03,BBB,30.000000,30.420166,29.970000,30.389776,2194034.95,30.389776,1000.092975
2024-01-04,AAA,10.296403,10.502969,10.286107,10.492477,1247432.61,10.492477,1000.780734
2024-01-04,BBB,30.389776,30.538009,30.359386,30.507501,1990094.60,30.507501,1000.780734
2024-01-05,AAA,10.492477,10.502969,10.425469,10.435905,1008738.11,10.435905,989.337914
2024-01-05,BBB,30.507501,30.538009,30.054472,30.084557,2147719.56,30.084557,989.337914
2024-01-08,AAA,10.435905,10.467628,10.425469,10.457171,1032097.82,10.457171,991.744674
2024-01-08,BBB,30.084557,30.401080,30.054472,30.370709,2085048.78,30.370709,991.744674
2024-01-09,AAA,10.457171,10.640661,10.446714,10.630031,1066807.73,10.630031,992.359593
2024-01-09,BBB,30.370709,30.401080,29.880224,29.910134,2379230.28,29.910134,992.359593
2024-01-10,AAA,10.630031,10.640661,10.336040,10.346386,1171946.38,10.346386,989.510106
2024-01-10,BBB,29.910134,29.940044,29.648578,29.678256,2168726.58,29.678256,989.510106
2024-01-11,AAA,10.346386,10.356732,10.090621,10.100722,1257233.59,10.100722,993.764665
2024-01-11,BBB,29.678256,29.744822,29.648578,29.715107,2129658.76,29.715107,993.764665
2024-01-12,AAA,10.100722,10.110823,9.887189,9.897086,1032169.79,9.897086,991.282609
2024-01-12,BBB,29.715107,29.825786,29.685392,29.795990,2014688.63,29.795990,991.282609
2024-01-15,AAA,9.897086,9.918697,9.887189,9.908788,1020190.05,9.908788,998.378520
2024-01-15,BBB,29.795990,30.250070,29.766194,30.219850,2357798.53,30.219850,998.378520
2024-01-16,AAA,9.908788,10.031733,9.898879,10.021711,1056533.38,10.021711,1005.773199
2024-01-16,BBB,30.219850,30.551827,30.189630,30.521306,2193279.98,30.521306,1005.773199
2024-01-17,AAA,10.021711,10.031733,9.932983,9.942926,1163606.79,9.942926,1001.189215
2024-01-17,BBB,30.521306,30.551827,30.115850,30.145996,2065168.14,30.145996,1001.189215
2024-01-18,AAA,9.942926,10.035129,9.932983,10.025104,1122071.94,10.025104,999.217955
2024-01-18,BBB,30.145996,30.176142,29.820734,29.850585,2119929.85,29.850585,999.217955
2024-01-19,AAA,10.025104,10.205584,10.015079,10.195389,1166965.77,10.195389,1008.373632
2024-01-19,BBB,29.850585,30.022739,29.820734,29.992746,2107132.27,29.992746,1008.373632
2024-01-22,AAA,10.195389,10.209098,10.185194,10.198899,941844.48,10.198899,1005.875781
2024-01-22,BBB,29.992746,30.201832,29.962753,30.171660,2107340.94,30.171660,1005.875781
2024-01-23,AAA,10.198899,10.270324,10.188700,10.260064,1033992.25,10.260064,1002.977439
2024-01-23,BBB,30.171660,30.608669,30.141488,30.578091,2264669.57,30.578091,1002.977439
2024-01-24,AAA,10.260064,10.388953,10.249804,10.378574,1076025.22,10.378574,1014.780431
2024-01-24,BBB,30.578091,30.608669,30.187912,30.218130,2129000.57,30.218130,1014.780431
2024-01-25,AAA,10.378574,10.388953,10.330090,10.340430,1164696.27,10.340430,1021.016161
2024-01-25,BBB,30.218130,30.303077,30.187912,30.272804,2135672.02,30.272804,1021.016161
2024-01-26,AAA,10.340430,10.350770,10.276870,10.287157,1057083.54,10.287157,1034.376276
2024-01-26,BBB,30.272804,30.439416,30.242531,30.409007,1917513.44,30.409007,1034.376276
2024-01-29,AAA,10.287157,10.297444,10.119550,10.129680,1067366.61,10.129680,1027.640234
2024-01-29,BBB,30.409007,30.439416,30.165786,30.195982,2281751.10,30.195982,1027.640234
2024-01-30,AAA,10.129680,10.233012,10.119550,10.222789,1118277.20,10.222789,1031.597793
2024-01-30,BBB,30.195982,30.226178,30.125748,30.155904,2153286.84,30.155904,1031.597793
2024-01-31,AAA,10.222789,10.233012,10.094558,10.104663,976173.97,10.104663,1027.361117
2024-01-31,BBB,30.155904,30.186060,29.272125,29.301426,2409397.27,29.301426,1027.361117
2024-02-01,AAA,10.104663,,,,943705.80,10.016278,1013.968022
2024-02-01,BBB,29.301426,29.658398,29.272125,29.628769,2127171.20,29.628769,1013.968022
2024-02-02,AAA,10.104663,10.114768,9.887197,9.897094,1012137.88,9.897094,1007.323751
2024-02-02,BBB,29.628769,30.063039,29.599140,30.033006,2227475.25,30.033006,1007.323751
2024-02-05,AAA,9.897094,9.921588,9.887197,9.911676,1027775.29,9.911676,999.849761
2024-02-05,BBB,30.033006,30.063039,29.476628,29.506134,2240144.65,29.506134,999.849761
2024-02-06,AAA,9.911676,9.986046,9.901764,9.976070,1025745.01,9.976070,999.540612
2024-02-06,BBB,29.506134,29.535640,29.389729,29.419148,2126547.26,29.419148,999.540612
2024-02-07,AAA,9.976070,9.986046,9.953343,9.963306,1051587.73,9.963306,991.899546
2024-02-07,BBB,29.419148,29.448567,28.998325,29.027352,2023926.71,29.027352,991.899546
2024-02-08,AAA,9.963306,10.092960,9.953343,10.082877,969576.22,10.082877,998.848891
2024-02-08,BBB,29.027352,29.260963,28.998325,29.231731,2072552.23,29.231731,998.848891
2024-02-09,AAA,10.082877,10.268906,10.072794,10.258647,1135276.09,10.258647,1000.285919
2024-02-09,BBB,29.231731,29.260963,29.170699,29.199899,2078851.77,29.199899,1000.285919
2024-02-12,AAA,10.258647,10.368736,10.248388,10.358378,1090170.70,10.358378,1004.552152
2024-02-12,BBB,29.199899,29.229099,29.059695,29.088784,2085848.13,29.088784,1004.552152
2024-02-13,AAA,10.358378,10.376901,10.348020,10.366534,962418.47,10.366534,1003.342457
2024-02-13,BBB,29.088784,29.117873,28.703801,28.732534,2222044.69,28.732534,1003.342457
2024-02-14,AAA,10.366534,10.506916,10.356167,10.496420,1034954.49,10.496420,998.446493
2024-02-14,BBB,28.732534,28.761267,28.470669,28.499168,2038408.70,28.499168,998.446493
2024-02-15,AAA,10.496420,10.506916,10.455088,10.465554,997740.24,10.465554,999.212648
2024-02-15,BBB,28.499168,28.869166,28.470669,28.840326,2205131.51,28.840326,999.212648
2024-02-16,AAA,10.465554,10.627328,10.455088,10.616711,1137066.41,10.616711,994.830022
2024-02-16,BBB,28.840326,29.044651,28.811486,29.015635,2036383.36,29.015635,994.830022
2024-02-19,AAA,10.616711,10.691301,10.606094,10.680620,1121038.69,10.680620,1002.437567
2024-02-19,BBB,29.015635,29.255959,28.986619,29.226732,2124279.88,29.226732,1002.437567
2024-02-20,AAA,10.680620,10.691301,10.607070,10.617688,1089520.55,10.617688,973.529868
2024-02-20,BBB,29.226732,29.255959,28.272188,28.300488,2501678.40,28.300488,973.529868
2024-02-22,AAA,10.617688,10.628306,10.392886,10.403289,1151114.39,10.403289,962.507435
2024-02-22,BBB,28.300488,28.328788,27.996957,28.024982,2105231.96,28.024982,962.507435
2024-02-23,AAA,10.403289,10.525620,10.392886,10.515105,998179.32,10.515105,972.775492
2024-02-23,BBB,28.024982,28.418452,27.996957,28.390062,2295651.79,28.390062,972.775492
2024-02-26,AAA,10.515105,10.631647,10.504590,10.621026,1012031.63,10.621026,988.370099
2024-02-26,BBB,28.390062,28.825543,28.361672,28.796746,2255951.60,28.796746,988.370099
2024-02-27,AAA,10.621026,10.631647,10.576003,10.586590,1086571.30,10.586590,987.878454
2024-02-27,BBB,28.796746,28.924118,28.767949,28.895223,1992345.48,28.895223,987.878454
2024-02-28,AAA,10.586590,12.026226,10.576003,12.014212,2250619.65,12.014212,996.490197
2024-02-28,BBB,28.895223,29.215883,28.866328,29.186696,2312084.57,29.186696,996.490197
2024-02-29,AAA,12.014212,12.026226,11.674687,11.686373,1062795.77,11.686373,1000.063659
2024-02-29,BBB,29.186696,29.215883,28.527857,28.556413,2488965.66,28.556413,1000.063659
2024-03-01,AAA,11.686373,11.814639,11.674687,11.802836,1109227.41,11.802836,1011.093186
2024-03-01,BBB,28.556413,29.516237,28.527857,29.486750,2410468.59,29.486750,1011.093186
2024-03-04,AAA,11.802836,11.912931,11.791033,11.901030,1123065.22,11.901030,1016.691621
2024-03-04,BBB,29.486750,29.516237,29.359451,29.388840,1891454.01,29.388840,1016.691621
2024-03-05,AAA,11.901030,11.912931,11.797475,11.809284,978549.17,11.809284,1017.151295
2024-03-05,BBB,29.388840,29.703375,29.359451,29.673701,2125553.90,29.673701,1017.151295
2024-03-06,AAA,11.809284,11.926446,11.797475,11.914531,1111567.74,11.914531,1012.857556
2024-03-06,BBB,29.673701,29.834367,29.644027,29.804562,2020385.60,29.804562,1012.857556
2024-03-07,AAA,11.914531,11.926446,11.685130,11.696827,1076121.73,11.696827,994.300882
2024-03-07,BBB,29.804562,29.834367,29.613842,29.643485,2171666.17,29.643485,994.300882
2024-03-08,AAA,11.696827,11.708524,11.668448,11.680128,1038152.82,11.680128,993.555396
2024-03-08,BBB,29.643485,29.673128,29.366648,29.396044,2129804.56,29.396044,993.555396
2024-03-11,AAA,11.680128,11.691808,5.906752,5.912665,1009785.59,11.825329,993.228029
2024-03-11,BBB,29.396044,29.425440,14.678536,14.693229,2163791.63,29.386457,993.228029
2024-03-12,AAA,5.912665,5.941282,5.906752,5.935347,1112081.61,11.870695,990.937585
2024-03-12,BBB,14.693229,14.707922,14.561848,14.576424,2094146.82,29.152847,990.937585
2024-03-13,AAA,5.935347,5.941282,5.878924,5.884809,1100511.52,11.769619,993.723784
2024-03-13,BBB,14.576424,14.711004,14.561848,14.696308,2068066.44,29.392616,993.723784
2024-03-14,AAA,5.884809,5.890694,5.851929,5.857787,1097579.45,11.715573,984.858579
2024-03-14,BBB,14.696308,14.711004,14.437304,14.451756,2165978.02,28.903511,984.858579
2024-03-15,AAA,5.857787,5.900528,5.851929,5.894633,995231.40,11.789266,986.480974
2024-03-15,BBB,14.451756,14.518715,14.437304,14.504211,2095546.84,29.008422,986.480974
2024-03-18,AAA,5.894633,5.925465,5.888738,5.919545,990710.20,11.839089,991.992637
2024-03-18,BBB,14.504211,14.775787,14.489707,14.761026,2315270.67,29.522052,991.992637
2024-03-19,AAA,5.919545,5.925465,5.857413,5.863276,994010.70,11.726552,983.112981
2024-03-19,BBB,14.761026,14.775787,14.617653,14.632285,2142133.26,29.264570,983.112981
2024-03-20,AAA,5.863276,5.919075,5.857413,5.913162,1066805.67,11.826324,989.662182
2024-03-20,BBB,14.632285,14.674489,14.617653,14.659829,1927099.07,29.319658,989.662182
2024-03-21,AAA,5.913162,5.919075,5.796544,5.802346,1154215.02,11.604692,982.195091
2024-03-21,BBB,14.659829,14.674489,14.498821,14.513334,1974038.27,29.026668,982.195091
2024-03-22,AAA,5.802346,5.808148,5.728966,5.734701,1100239.97,11.469403,974.691609
2024-03-22,BBB,14.513334,14.623374,14.498821,14.608765,2081468.58,29.217530,974.691609
2024-03-25,AAA,5.734701,5.767454,5.728966,5.761692,1051402.54,11.523384,978.308320
2024-03-25,BBB,14.608765,14.623374,14.485276,14.499776,2228212.31,28.999553,978.308320
2024-03-26,AAA,5.761692,5.767454,5.728229,5.733963,1046957.48,11.467925,980.660279
2024-03-26,BBB,14.499776,14.561956,14.485276,14.547409,2066920.85,29.094817,980.660279
2024-03-27,AAA,5.733963,5.754027,5.728229,5.748279,1030928.56,11.496557,984.954072
2024-03-27,BBB,14.547409,14.561956,14.509756,14.524280,2114384.64,29.048561,984.954072
2024-03-28,AAA,5.748279,5.863051,5.742531,5.857194,1155999.83,11.714389,979.634472
